DeliveryDateTime,Price
2022-01-01 01:00:00+01:00,51.44327
2022-01-01 02:00:00+01:00,55.91396
2022-01-01 03:00:00+01:00,46.94279
2022-01-01 04:00:00+01:00,37.6721
2022-01-01 05:00:00+01:00,39.7
2022-01-01 06:00:00+01:00,40.58627
2022-01-01 07:00:00+01:00,43.26292
2022-01-01 08:00:00+01:00,49.6593
2022-01-01 09:00:00+01:00,70.04954
2022-01-01 10:00:00+01:00,76.78827
2022-01-01 11:00:00+01:00,84.09861
2022-01-01 12:00:00+01:00,94.74
2022-01-01 13:00:00+01:00,96.79738
2022-01-01 14:00:00+01:00,97.17
2022-01-01 15:00:00+01:00,101.0
2022-01-01 16:00:00+01:00,126.60311
2022-01-01 17:00:00+01:00,149.9731
2022-01-01 18:00:00+01:00,146.33463
2022-01-01 19:00:00+01:00,140.28218
2022-01-01 20:00:00+01:00,121.88389
2022-01-01 21:00:00+01:00,102.60927
2022-01-01 22:00:00+01:00,97.46378
2022-01-01 23:00:00+01:00,85.15867
2022-01-02 00:00:00+01:00,57.07848
2022-01-02 01:00:00+01:00,52.58649
2022-01-02 02:00:00+01:00,48.97417
2022-01-02 03:00:00+01:00,34.94069
2022-01-02 04:00:00+01:00,29.55949
2022-01-02 05:00:00+01:00,33.96974
2022-01-02 06:00:00+01:00,34.51649
2022-01-02 07:00:00+01:00,41.79673
2022-01-02 08:00:00+01:00,48.94783
2022-01-02 09:00:00+01:00,60.0062
2022-01-02 10:00:00+01:00,70.09017
2022-01-02 11:00:00+01:00,66.25527
2022-01-02 12:00:00+01:00,64.54234
2022-01-02 13:00:00+01:00,46.96491
2022-01-02 14:00:00+01:00,65.19346
2022-01-02 15:00:00+01:00,60.07324
2022-01-02 16:00:00+01:00,88.45866
2022-01-02 17:00:00+01:00,95.40073
2022-01-02 18:00:00+01:00,86.70908
2022-01-02 19:00:00+01:00,71.72
2022-01-02 20:00:00+01:00,56.72824
2022-01-02 21:00:00+01:00,46.16462
2022-01-02 22:00:00+01:00,46.28878
2022-01-02 23:00:00+01:00,32.93397
2022-01-03 00:00:00+01:00,20.89311
2022-01-03 01:00:00+01:00,9.70069
2022-01-03 02:00:00+01:00,9.70069
2022-01-03 03:00:00+01:00,7.07342
2022-01-03 04:00:00+01:00,8.98849
2022-01-03 05:00:00+01:00,15.33601
2022-01-03 06:00:00+01:00,162.86028
2022-01-03 07:00:00+01:00,202.03
2022-01-03 08:00:00+01:00,212.0
2022-01-03 09:00:00+01:00,232.0
2022-01-03 10:00:00+01:00,239.51
2022-01-03 11:00:00+01:00,212.22
2022-01-03 12:00:00+01:00,202.03
2022-01-03 13:00:00+01:00,199.89
2022-01-03 14:00:00+01:00,207.16
2022-01-03 15:00:00+01:00,265.0
2022-01-03 16:00:00+01:00,270.0
